MH_E;MH_EM;MH_EW;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110;E_A;E_AM;E_AW;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110;E_E;E_EM;E_EW;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
147054;77255;69799;2147;11380;16964;5290;15967;75254;11228;7784;1040;91050;48521;42529;503;2302;5819;2605;10746;55409;7606;5468;592;327082;168172;158910;3439;16209;23072;7452;34165;164951;31263;36649;9882
93353;48147;45206;1322;6936;10956;3278;9966;49054;6226;5022;593;56480;29428;27052;194;923;3124;1446;6511;35832;4300;3784;366;259967;132515;127452;2938;12841;17261;5084;25962;149476;19487;21118;5800
39330;19896;19434;605;3906;4174;895;3321;22406;1869;1745;409;21477;10890;10587;72;459;736;318;2397;16084;923;422;66;354711;173592;181119;4000;18776;23156;5729;27885;187603;29574;45590;12398
105506;52356;53150;1107;6178;10129;3065;7758;54414;12842;8024;1989;60392;30436;29956;176;973;2469;1016;4755;36652;7901;5070;1380;312256;148544;163712;2181;11128;19139;6205;21506;139646;44857;51521;16073
54098;26865;27233;678;4259;7384;2419;4792;24275;5836;3863;592;21231;10477;10754;85;440;1434;634;1840;12108;2699;1799;192;215444;103489;111955;1608;9201;17560;6270;17785;86407;27484;38562;10567
64328;31109;33219;712;4306;7960;2606;5200;30340;7526;4665;1013;31817;15202;16615;83;472;1390;699;3299;18600;3995;2617;662;289718;134631;155087;2027;11684;22431;7506;20015;116353;39417;53392;16893
102524;51550;50974;1234;7034;11816;3754;8215;50357;10953;7613;1548;52411;26708;25703;139;694;2628;1291;4326;31377;6454;4566;936;328097;158347;169750;2616;13294;23672;8186;24687;146579;42959;51027;15077
121917;63444;58473;1832;9866;15753;4977;11940;59233;10242;7060;1014;68752;36560;32192;400;1842;5045;2078;7132;40407;6492;4740;616;307650;153184;154466;2907;14161;24359;8647;28155;139650;34686;43912;11173
16891;8569;8322;265;1553;2198;650;1357;7995;1136;1412;325;7444;3856;3588;29;175;457;232;773;5017;467;246;48;237753;115165;122588;2020;9708;14971;4272;19431;103529;24734;47020;12068
25280;12233;13047;412;2297;3158;965;2747;11144;2154;1899;504;8305;3998;4307;65;271;633;310;1057;5267;481;176;45;244165;120167;123998;2110;10691;15929;5242;27190;109068;33629;32767;7539
34441;17477;16964;593;3089;4085;1340;4072;16554;2214;2009;485;17210;8912;8298;144;619;1455;702;2429;10633;847;333;48;251626;122726;128900;2421;10899;14517;4446;26359;112295;29270;41486;9933
54608;27355;27253;756;4574;7911;2530;4493;24764;5604;3408;568;23618;11856;11762;103;564;1787;796;2105;13551;2666;1782;264;241203;116166;125037;1757;9965;19509;6966;18391;94708;32235;45590;12082
