"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201012;10010101;10;1;1;1;2;1144;528;616;9;144;157;38;85;525;111;65;10;21;211;157;30;646;18;0;222;17;444;190;254;6;20;44;16;39;280;32;7;0;5530;2760;2770;63;377;426;101;609;2812;618;431;93
201012;10010102;10;1;1;2;2;3252;1621;1631;59;342;454;134;272;1433;312;181;65;40;320;178;100;2134;51;19;585;43;1017;472;545;0;49;85;32;86;680;58;21;6;16980;8561;8419;198;1065;1518;426;1865;8017;2032;1444;415
201012;10010203;10;1;2;3;2;332;204;128;21;30;26;9;93;141;3;9;0;9;24;15;54;77;3;32;142;0;292;170;122;9;20;26;9;90;129;0;9;0;563;397;166;21;30;26;12;105;310;35;24;0
201012;10010204;10;1;2;4;2;1665;805;860;12;166;222;70;154;704;181;115;41;3;209;161;93;1085;22;22;189;45;446;216;230;0;12;45;15;40;276;40;12;6;10034;4974;5060;124;560;800;247;838;4360;1773;1024;308
201012;10010205;10;1;2;5;2;665;324;341;6;47;96;12;82;299;58;56;9;18;160;77;6;370;32;15;76;6;211;107;104;0;3;12;3;27;148;18;0;0;7566;3867;3699;70;349;505;106;949;3614;1105;741;127
201012;10010206;10;1;2;6;2;1930;979;951;22;161;229;67;202;863;219;123;44;42;369;165;43;1112;45;21;296;44;619;331;288;3;22;43;24;73;394;53;4;3;15662;7741;7921;114;624;851;246;1361;6255;3109;2486;616
201012;10010207;10;1;2;7;2;1697;810;887;31;189;218;76;137;782;145;84;35;61;191;62;37;970;50;37;369;43;590;285;305;3;9;60;40;40;392;31;12;3;10562;5170;5392;86;548;704;229;816;4041;2213;1541;384
201012;10010308;10;1;3;8;2;191;110;81;0;15;21;3;18;106;18;10;0;3;55;33;6;50;0;18;56;6;93;60;33;0;6;3;0;6;66;9;3;0;1656;855;801;3;56;73;33;130;702;260;341;58
201012;10010309;10;1;3;9;2;2268;1050;1218;25;226;303;100;209;979;189;176;61;39;260;78;131;1416;50;69;296;46;787;370;417;3;25;122;47;78;464;30;15;3;14218;6800;7418;94;603;771;234;1161;5183;2647;2826;699
201012;10010310;10;1;3;10;2;2170;1036;1134;52;185;277;63;271;934;196;163;29;36;255;78;42;1284;44;15;465;65;679;309;370;10;37;36;19;72;428;52;19;6;17062;8408;8654;126;686;1022;247;1373;6464;3650;3027;467
201012;10010311;10;1;3;11;2;378;171;207;0;45;71;12;39;151;24;33;3;9;31;13;0;247;3;24;55;18;79;36;43;0;0;3;3;6;55;9;3;0;2987;1339;1648;37;167;192;50;236;1289;320;439;257
201012;10020412;10;2;4;12;2;955;455;500;23;120;103;37;110;422;80;51;9;11;73;31;43;618;22;10;162;27;297;134;163;7;12;15;12;34;198;16;3;0;5831;2801;3030;104;473;548;181;844;2628;502;451;100
201012;10020413;10;2;4;13;2;1080;536;544;12;87;121;32;95;503;103;102;25;39;189;94;18;633;42;34;143;21;311;155;156;0;14;9;6;21;236;9;16;0;14228;6872;7356;133;726;778;276;1925;6949;1500;1500;441
201012;10020414;10;2;4;14;2;674;331;343;12;61;121;22;67;318;37;24;12;3;42;33;9;568;6;6;37;6;135;75;60;0;3;13;3;6;104;6;0;0;1649;798;851;18;92;191;52;178;777;123;163;55
201012;10020415;10;2;4;15;2;467;235;232;9;42;48;12;57;229;28;33;9;33;177;81;15;173;12;6;78;6;204;93;111;3;6;12;6;24;147;3;3;0;5003;2533;2470;77;251;427;141;681;2431;461;428;106
201012;10020416;10;2;4;16;2;614;295;319;16;48;93;17;58;301;55;26;0;25;137;81;21;297;27;35;78;19;277;142;135;0;6;27;5;21;183;25;10;0;4935;2467;2468;84;301;444;112;790;2484;350;301;69
201012;10020517;10;2;5;17;2;499;245;254;3;45;53;9;51;227;43;41;27;13;118;63;9;236;7;18;105;6;149;67;82;0;7;6;3;15;100;18;0;0;8736;4191;4545;56;354;411;177;1099;4332;965;1119;223
201012;10020518;10;2;5;18;2;315;167;148;4;20;54;15;25;148;27;19;3;9;75;42;6;176;4;9;27;18;80;41;39;0;0;12;3;6;50;9;0;0;4609;2297;2312;58;265;428;114;655;2297;315;378;99
201012;10020519;10;2;5;19;2;370;177;193;6;39;46;16;52;155;22;28;6;6;97;58;25;149;30;9;57;3;164;84;80;3;12;19;3;21;96;7;3;0;4578;2319;2259;80;325;387;128;662;2106;409;391;90
201012;10020620;10;2;6;20;2;331;158;173;6;26;28;4;30;152;40;36;9;6;50;32;3;216;3;3;53;3;101;48;53;0;7;6;0;6;79;3;0;0;3100;1545;1555;29;105;119;55;425;1594;435;282;56
201012;10020621;10;2;6;21;2;477;251;226;6;38;67;15;67;207;50;27;0;18;84;27;25;260;19;15;61;13;162;102;60;0;10;9;3;27;101;9;3;0;5555;2807;2748;69;322;441;132;1068;2644;422;383;74
201012;10020622;10;2;6;22;2;760;382;378;15;75;83;24;86;288;82;64;43;12;195;91;58;388;18;9;79;13;247;112;135;6;15;18;3;32;143;15;15;0;8440;3835;4605;74;369;452;124;807;3346;1482;1302;484
201012;10020623;10;2;6;23;2;455;217;238;4;37;47;18;31;219;54;36;9;9;84;53;9;250;13;12;75;12;113;53;60;0;0;6;9;3;82;13;0;0;6563;3100;3463;45;244;334;112;666;2959;844;1033;326
201012;10030724;10;3;7;24;2;941;493;448;3;24;69;23;362;372;21;58;9;235;449;82;12;201;15;65;171;28;602;316;286;0;9;9;0;318;248;6;12;0;7777;3829;3948;30;223;378;128;937;3179;1240;1330;332
201012;10030725;10;3;7;25;2;626;325;301;6;38;43;34;111;238;52;78;26;9;64;12;15;327;16;25;170;9;264;158;106;3;6;10;25;71;121;22;3;3;5739;2896;2843;38;183;286;99;500;2467;958;937;271
201012;10030726;10;3;7;26;2;144;66;78;3;15;6;9;9;71;19;9;3;3;55;24;15;35;0;3;24;12;44;21;23;0;6;0;0;6;22;10;0;0;2537;1216;1321;19;74;158;52;160;1073;357;438;206
