"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
146348;76495;69853;2153;11545;17403;5177;16484;73861;10992;7758;975;88077;46591;41486;469;2384;5424;2465;11045;53311;7173;5341;465;326650;167696;158954;3483;16449;23495;7230;34980;163959;31332;35879;9843;15689;35491;12300;11192;10113;38781;14851;25698;10222
93700;48029;45671;1324;6961;10984;3205;10071;49469;6015;5076;595;55446;28605;26841;185;857;2738;1335;6552;35629;4032;3767;351;261090;132874;128216;2989;13116;17474;4922;25323;150909;19784;20769;5804;15978;24206;4719;4301;4155;29823;7371;16324;7520
42062;21156;20906;743;3969;4555;1008;3508;24058;1984;1801;436;23079;11672;11407;97;498;753;342;2496;17344;1004;472;73;360017;176168;183849;4068;19368;24260;5948;26662;190943;30936;44896;12936;11451;19247;4115;1403;5542;1592;1351;11362;1565
106412;52429;53983;1149;6323;10219;3135;7776;54230;13116;8411;2053;59668;29748;29920;155;1021;2305;949;4751;35969;7914;5198;1406;312340;148359;163981;2276;11313;19107;6217;21648;138624;44835;52307;16013;18123;34013;10707;7131;12363;11957;6339;25513;9096
56432;28073;28359;794;4321;7684;2472;4973;25221;6235;4062;670;22420;11053;11367;110;481;1422;644;1999;12796;2840;1912;216;218094;105057;113037;1819;9273;17600;6238;18158;87528;27936;38650;10892;4240;14507;8423;4633;9309;11993;3996;6516;5478
65683;31808;33875;726;4506;8114;2665;5226;30637;7757;4964;1088;32067;15409;16658;85;518;1328;717;3263;18680;4050;2724;702;291700;135891;155809;2122;11879;22764;7474;20181;116637;39523;54082;17038;10285;22257;9014;4441;5529;6617;3078;17168;6593
103743;52241;51502;1267;7054;12031;3785;8230;50553;11374;7831;1618;52439;26847;25592;136;754;2423;1231;4402;31264;6601;4665;963;329245;159278;169967;2704;13406;23680;8009;24960;146457;43376;51429;15224;13246;29871;12887;8303;9393;22315;7253;16022;10586
120684;62133;58551;1867;10068;16104;5049;11993;57987;9934;6833;849;65315;34132;31183;396;1943;4677;2051;6947;38563;5884;4435;419;307204;152301;154903;3004;14482;24304;8511;28436;139770;34332;43447;10918;9758;28289;13765;12796;4758;36920;15035;11965;10921
17607;8895;8712;267;1533;2341;636;1421;8411;1202;1453;343;7828;4063;3765;36;168;449;212;812;5316;514;285;36;239374;115923;123451;2072;9965;15398;4270;18381;104728;25618;46199;12743;1889;6398;2466;1235;3471;1530;659;3300;1014
26938;13168;13770;389;2473;3424;976;2948;11861;2404;1927;536;9179;4518;4661;56;322;672;304;1254;5772;562;197;40;246225;121334;124891;2143;11263;16561;5036;25273;109110;35857;32990;7992;958;4878;2076;889;14714;638;618;4479;722
36101;18220;17881;597;3241;4337;1356;4353;17262;2438;1985;532;18068;9287;8781;142;653;1390;699;2736;11097;960;335;56;253539;123665;129874;2397;11393;15123;4309;24765;113687;30087;41220;10558;1860;7428;2681;2694;13073;992;1762;9286;866
56422;28392;28030;828;4735;8135;2619;4633;25475;5872;3588;537;24220;12270;11950;119;633;1685;819;2221;14003;2703;1830;207;242084;117085;124999;1867;10076;19477;6837;18616;94951;32248;45857;12155;5345;16397;9128;4758;5110;12755;4094;7553;5755
