"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E.x";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"MH_E.y";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201412;10010101;10;1;1;1;2;1201;566;635;21;93;198;41;91;533;151;67;6;1201;24;218;158;40;578;12;13;206;134;496;221;275;6;34;52;6;45;301;34;18;0;5545;2744;2801;58;319;501;113;403;2703;894;439;115
201412;10010102;10;1;1;2;2;3695;1819;1876;57;410;542;137;260;1612;393;215;69;3695;93;441;205;98;1960;57;24;762;353;1335;606;729;15;76;84;36;97;853;123;48;3;17726;8870;8856;193;1144;1728;489;1255;7904;2844;1698;471
201412;10010203;10;1;2;3;2;355;221;134;12;27;24;3;65;205;13;6;0;355;12;45;12;69;57;6;25;144;9;298;180;118;6;15;21;3;62;172;13;6;0;788;554;234;12;36;36;15;108;477;83;21;0
201412;10010204;10;1;2;4;2;1836;907;929;24;153;268;106;144;801;221;84;35;1836;33;319;207;96;987;36;30;234;134;581;299;282;6;33;34;34;41;378;33;19;3;10220;5048;5172;105;584;900;253;588;4155;2057;1216;362
201412;10010205;10;1;2;5;2;894;443;451;18;93;107;33;96;420;78;40;9;894;24;202;110;23;432;33;21;122;61;370;188;182;6;15;22;9;33;261;18;3;3;8035;4057;3978;93;467;635;160;585;3611;1463;846;175
201412;10010206;10;1;2;6;2;2620;1289;1331;53;246;327;73;294;1162;308;118;39;2620;87;634;217;74;1176;37;80;466;153;1150;574;576;16;46;79;21;157;699;108;21;3;16406;8087;8319;128;755;1082;247;1029;6155;3422;2834;754
201412;10010207;10;1;2;7;2;2120;1025;1095;48;204;336;88;166;973;203;72;30;2120;92;332;127;58;941;85;46;481;177;892;437;455;9;40;68;28;74;583;66;15;9;10655;5195;5460;93;500;866;218;660;3906;2162;1824;426
201412;10010308;10;1;3;8;2;570;321;249;6;56;110;19;55;294;24;6;0;570;30;121;30;257;79;10;3;76;24;444;256;188;6;35;92;19;36;238;15;3;0;2148;1126;1022;18;107;178;41;111;947;300;348;98
201412;10010309;10;1;3;9;2;2607;1256;1351;52;229;383;93;225;1242;249;97;37;2607;60;325;113;122;1471;77;65;349;198;946;460;486;12;29;68;36;85;634;60;19;3;14403;6901;7502;92;593;927;238;778;5388;2459;3060;868
201412;10010310;10;1;3;10;2;2717;1326;1391;40;297;385;81;216;1228;320;123;27;2717;63;434;166;66;1378;64;27;595;153;1014;476;538;19;68;85;19;98;601;91;33;0;17603;8638;8965;143;810;1242;346;951;6432;3503;3583;593
201412;10010311;10;1;3;11;2;369;168;201;0;34;72;12;25;164;38;12;12;369;15;45;21;0;219;12;15;50;28;76;39;37;0;0;0;0;6;55;12;3;0;2944;1306;1638;27;160;214;43;129;1221;368;429;353
201412;10020412;10;2;4;12;2;1511;719;792;46;180;240;54;125;698;94;62;12;1511;30;303;136;69;747;30;24;284;54;653;308;345;13;52;59;15;62;400;37;9;6;6617;3196;3421;122;576;787;211;566;3049;709;463;134
201412;10020413;10;2;4;13;2;1706;832;874;41;158;176;55;180;799;172;92;33;1706;74;478;182;53;717;63;70;227;98;778;395;383;7;42;41;18;98;493;51;25;3;14967;7226;7741;167;870;992;262;1246;7283;2133;1480;534
201412;10020414;10;2;4;14;2;595;297;298;3;46;105;27;50;273;55;33;3;595;12;51;27;3;422;7;3;33;76;117;66;51;0;0;7;3;0;97;10;0;0;1658;808;850;16;88;150;57;153;792;170;161;71
201412;10020415;10;2;4;15;2;813;395;418;27;103;106;30;69;387;63;25;3;813;66;334;169;24;193;15;34;192;21;499;237;262;12;50;43;15;47;296;27;9;0;5304;2609;2695;81;366;512;154;437;2557;645;403;149
201412;10020416;10;2;4;16;2;1142;608;534;15;109;147;22;109;612;91;31;6;1142;51;496;232;40;385;21;52;110;38;661;356;305;6;31;43;3;85;437;47;9;0;5406;2764;2642;75;433;504;113;525;2857;511;317;71
201412;10020517;10;2;5;17;2;609;309;300;18;50;64;22;51;299;59;33;13;609;16;134;72;3;259;9;46;134;24;233;114;119;6;6;12;3;21;160;19;6;0;8786;4203;4583;88;409;469;151;595;4327;1337;1091;319
201412;10020518;10;2;5;18;2;501;247;254;6;57;71;28;59;226;36;18;0;501;34;200;94;22;155;18;6;84;16;244;128;116;0;21;18;12;34;138;18;3;0;5045;2521;2524;60;341;483;157;413;2554;549;354;134
201412;10020519;10;2;5;19;2;1307;705;602;29;178;219;53;155;583;59;25;6;1307;56;339;158;226;322;28;209;156;27;958;522;436;17;110;154;35;134;469;30;9;0;5799;2971;2828;83;523;676;157;534;2729;591;384;122
201412;10020620;10;2;6;20;2;461;213;248;9;51;42;6;40;198;73;30;12;461;21;94;58;9;206;18;24;89;21;199;92;107;3;18;9;0;28;114;24;3;0;3357;1632;1725;42;177;158;38;280;1711;569;306;76
201412;10020621;10;2;6;21;2;668;322;346;18;60;80;9;81;335;60;25;0;668;24;235;113;9;263;6;18;108;29;325;159;166;9;15;22;9;36;210;18;6;0;5915;2943;2972;81;401;513;124;578;3034;661;411;112
201412;10020622;10;2;6;22;2;931;451;480;22;77;138;29;73;423;92;58;19;931;33;287;152;50;382;44;3;110;55;384;186;198;6;15;46;6;32;228;33;15;3;8717;3994;4723;77;372;561;148;472;3490;1573;1450;574
201412;10020623;10;2;6;23;2;548;270;278;9;48;65;6;26;290;59;36;9;548;16;95;48;22;298;8;9;93;23;174;83;91;0;6;9;3;9;129;12;6;0;6507;3047;3460;59;269;369;112;282;2775;1127;1118;396
201412;10030724;10;3;7;24;2;975;504;471;6;33;65;27;302;457;63;10;12;975;97;274;74;18;255;31;66;294;37;651;330;321;3;15;12;3;277;319;15;4;3;7728;3787;3941;46;230;426;148;602;3054;1367;1428;427
