"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201512;10010101;10;1;1;1;2;1320;626;694;23;109;203;46;99;610;134;90;6;27;279;176;47;655;18;34;245;42;588;263;325;13;33;55;3;43;370;41;30;0;5619;2787;2832;66;314;511;129;358;2729;914;482;116
201512;10010102;10;1;1;2;2;3813;1869;1944;70;382;603;129;286;1638;413;218;74;112;576;255;111;2151;68;58;778;71;1475;668;807;23;91;118;39;119;912;130;37;6;17840;8936;8904;208;1131;1783;491;1215;7799;2960;1764;489
201512;10010203;10;1;2;3;2;866;581;285;12;89;88;19;192;424;29;13;0;3;40;18;68;121;6;391;240;0;824;551;273;9;83;82;19;192;403;26;10;0;1291;916;375;12;98;97;19;231;687;111;36;0
201512;10010204;10;1;2;4;2;2003;1007;996;34;185;299;75;173;886;216;107;28;33;428;251;97;1065;31;44;302;36;710;363;347;10;55;54;15;66;447;45;18;0;10365;5112;5253;112;611;961;246;597;4132;2010;1322;374
201512;10010205;10;1;2;5;2;1122;600;522;22;101;145;42;164;508;103;28;9;31;235;120;24;449;24;186;189;15;610;359;251;7;38;47;16;111;349;33;9;0;8265;4223;4042;92;472;684;176;583;3708;1480;888;182
201512;10010206;10;1;2;6;2;3248;1698;1550;64;297;403;81;386;1513;315;135;54;84;752;225;241;1394;54;169;582;56;1730;962;768;28;98;120;33;268;1017;118;42;6;16920;8424;8496;162;789;1171;271;1060;6388;3274;2981;824
201512;10010207;10;1;2;7;2;2211;1083;1128;47;218;354;88;169;1010;216;81;28;96;379;135;64;1075;93;70;478;52;935;464;471;13;42;81;27;74;584;85;13;16;10711;5234;5477;116;486;906;237;625;3910;2040;1948;443
201512;10010308;10;1;3;8;2;513;285;228;6;67;64;19;80;235;27;15;0;34;124;34;115;76;6;53;130;9;352;195;157;3;27;52;6;53;184;18;9;0;2126;1134;992;22;125;133;41;142;920;304;352;87
201512;10010309;10;1;3;9;2;2671;1304;1367;43;238;390;100;223;1278;253;119;27;73;370;122;126;1585;82;92;366;50;980;488;492;7;30;66;40;97;654;60;20;6;14340;6877;7463;115;561;942;268;709;5345;2361;3116;923
201512;10010310;10;1;3;10;2;2948;1472;1476;55;294;451;94;232;1348;326;115;33;70;490;175;69;1520;45;54;667;103;1161;568;593;13;77;115;28;106;697;97;25;3;17740;8721;9019;160;833;1297;377;861;6504;3351;3705;652
201512;10010311;10;1;3;11;2;351;163;188;3;22;62;19;26;144;37;20;18;14;45;19;3;220;6;12;46;19;78;40;38;0;0;0;0;6;57;9;3;3;2919;1309;1610;33;140;207;57;107;1202;368;441;364
201512;10020412;10;2;4;12;2;1725;839;886;52;245;261;63;140;758;118;68;20;28;387;197;69;802;36;76;349;6;830;395;435;28;82;77;22;86;470;53;9;3;6791;3294;3497;122;616;835;217;544;3085;746;472;154
201512;10020413;10;2;4;13;2;1982;983;999;43;208;231;59;170;981;168;81;41;80;645;215;57;798;52;120;270;40;981;505;476;19;64;89;21;96;631;46;12;3;15139;7299;7840;179;868;1104;272;1040;7400;2233;1483;560
201512;10020414;10;2;4;14;2;574;281;293;3;42;97;31;45;268;60;18;10;6;39;27;9;463;12;6;33;12;126;66;60;3;0;6;0;9;84;24;0;0;1638;797;841;15;81;146;59;127;792;194;155;69
201512;10020415;10;2;4;15;2;1080;546;534;30;158;145;33;108;530;52;15;9;83;451;242;37;219;21;83;266;3;715;360;355;12;85;65;21;78;414;31;6;3;5462;2713;2749;90;418;543;155;404;2595;676;416;165
201512;10020416;10;2;4;16;2;1323;718;605;31;120;167;33;127;693;91;58;3;49;599;277;53;422;28;49;160;12;798;446;352;6;40;59;18;90;515;45;25;0;5584;2882;2702;88;435;556;121;497;2895;585;322;85
201512;10020517;10;2;5;17;2;669;337;332;13;61;74;19;56;310;79;44;13;24;181;78;12;275;18;34;120;29;265;133;132;7;12;18;0;27;161;28;12;0;8753;4204;4549;94;411;498;142;463;4240;1452;1100;353
